"ì œëª©","ì‹œì‘ ë‚ ì§œ","ì‹œì‘ ì‹œê°„","ë ë‚ ì§œ","ë ì‹œê°„","í•˜ë£¨ ì¢…ì¼","ë¯¸ë¦¬ ì•Œë¦¼ ì„¤ì •/í•´ì œ","ë¯¸ë¦¬ ì•Œë¦¼ ë‚ ì§œ","ë¯¸ë¦¬ ì•Œë¦¼ ì‹œê°„","ëª¨ì„ ì´ëŒì´","í•„ìˆ˜ ì°¸ì„ì","ì„ íƒ ì°¸ì„ì","ëª¨ì„ ë¦¬ì†ŒìŠ¤","ê±°ë¦¬","ë²”ì£¼ í•­ëª©","ë¹„ìš© ì •ë³´","ì„¤ëª…","ìˆ¨ê¹€","ì‹œê°„ ìƒíƒœ ë³´ê¸°","ìš°ì„  ìˆœìœ„","ìš°í¸ë¬¼ ì¢…ë¥˜","ì¥ì†Œ"
"[PUS1][Normal] UPS Power Quality Measurement","2023-7-18","¿ÀÀü 10:00:00","2023-7-18","¿ÀÈÄ 6:00:00","False","True","2023-7-18","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 UPS Power Quality Measurement	Procedure No.	PUS1-MOP-022	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	BNK DR Center UPS-01, 02
Shinbinet IDC UPS-01, 02
Pusan Center UPS-01, 02	Power source/ Breaker isolated	UPS Configuration 
â€œN+1â€	 
Description of Work 
This check is a regular monthly check to accurately measure the UPS's power quality and load capacity.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] UPS Power Quality Measurement","2023-8-25","¿ÀÀü 10:00:00","2023-8-25","¿ÀÈÄ 3:00:00","False","False","2023-8-15","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 UPS Power Quality Measurement	Procedure No.	PUS1-MOP-022	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	BNK DR Center UPS-01, 02
Shinbinet IDC UPS-01, 02
Pusan Center UPS-01, 02	Power source/ Breaker isolated	UPS Configuration 
&#8220;N+1&#8221;	 
Description of Work 
This check is a regular monthly check to accurately measure the UPS's power quality and load capacity.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] UPS Power Quality Measurement","2023-9-19","¿ÀÀü 10:00:00","2023-9-19","¿ÀÈÄ 6:00:00","False","True","2023-9-19","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 UPS Power Quality Measurement	Procedure No.	PUS1-MOP-022	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	BNK DR Center UPS-01, 02
Shinbinet IDC UPS-01, 02
Pusan Center UPS-01, 02	Power source/ Breaker isolated	UPS Configuration 
â€œN+1â€	 
Description of Work 
This check is a regular monthly check to accurately measure the UPS's power quality and load capacity.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] UPS Power Quality Measurement","2023-10-17","¿ÀÀü 10:00:00","2023-10-17","¿ÀÈÄ 6:00:00","False","True","2023-10-17","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 UPS Power Quality Measurement	Procedure No.	PUS1-MOP-022	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	BNK DR Center UPS-01, 02
Shinbinet IDC UPS-01, 02
Pusan Center UPS-01, 02	Power source/ Breaker isolated	UPS Configuration 
â€œN+1â€	 
Description of Work 
This check is a regular monthly check to accurately measure the UPS's power quality and load capacity.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] UPS Power Quality Measurement","2023-11-21","¿ÀÀü 10:00:00","2023-11-21","¿ÀÈÄ 6:00:00","False","True","2023-11-21","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 UPS Power Quality Measurement	Procedure No.	PUS1-MOP-022	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	BNK DR Center UPS-01, 02
Shinbinet IDC UPS-01, 02
Pusan Center UPS-01, 02	Power source/ Breaker isolated	UPS Configuration 
â€œN+1â€	 
Description of Work 
This check is a regular monthly check to accurately measure the UPS's power quality and load capacity.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] UPS Power Quality Measurement","2023-12-19","¿ÀÀü 10:00:00","2023-12-19","¿ÀÈÄ 6:00:00","False","True","2023-12-19","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 UPS Power Quality Measurement	Procedure No.	PUS1-MOP-022	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	BNK DR Center UPS-01, 02
Shinbinet IDC UPS-01, 02
Pusan Center UPS-01, 02	Power source/ Breaker isolated	UPS Configuration 
â€œN+1â€	 
Description of Work 
This check is a regular monthly check to accurately measure the UPS's power quality and load capacity.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of diesel tank and storage tank.","2023-2-22","¿ÀÈÄ 1:00:00","2023-2-22","¿ÀÈÄ 2:00:00","False","True","2023-2-22","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Diesel fuel day &amp; Storage tank inspection 	Procedure No. 	PUS1-MOP-010 	Risk Level: 	 	Frequency 	Monthly 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	N/A 	 
Description of Work  
The purpose of this inspection is to check the main fuel tank for oil supply to the generator (18,500 liters) and the daily fuel tank (970 liters) for leakage, the amount of residual fuel, and the risk factors inside the oil tank room. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of diesel tank and storage tank.","2023-3-22","¿ÀÈÄ 1:00:00","2023-3-22","¿ÀÈÄ 2:00:00","False","True","2023-3-22","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Diesel fuel day &amp; Storage tank inspection 	Procedure No. 	PUS1-MOP-010 	Risk Level: 	 	Frequency 	Monthly 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	N/A 	 
Description of Work  
The purpose of this inspection is to check the main fuel tank for oil supply to the generator (18,500 liters) and the daily fuel tank (970 liters) for leakage, the amount of residual fuel, and the risk factors inside the oil tank room. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of diesel tank and storage tank.","2023-4-26","¿ÀÈÄ 1:00:00","2023-4-26","¿ÀÈÄ 2:00:00","False","True","2023-4-26","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Diesel fuel day &amp; Storage tank inspection 	Procedure No. 	PUS1-MOP-010 	Risk Level: 	 	Frequency 	Monthly 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	N/A 	 
Description of Work  
The purpose of this inspection is to check the main fuel tank for oil supply to the generator (18,500 liters) and the daily fuel tank (970 liters) for leakage, the amount of residual fuel, and the risk factors inside the oil tank room. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of diesel tank and storage tank.","2023-5-24","¿ÀÈÄ 1:00:00","2023-5-24","¿ÀÈÄ 2:00:00","False","True","2023-5-24","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Diesel fuel day &amp; Storage tank inspection 	Procedure No. 	PUS1-MOP-010 	Risk Level: 	 	Frequency 	Monthly 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	N/A 	 
Description of Work  
The purpose of this inspection is to check the main fuel tank for oil supply to the generator (18,500 liters) and the daily fuel tank (970 liters) for leakage, the amount of residual fuel, and the risk factors inside the oil tank room. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of diesel tank and storage tank.","2023-6-28","¿ÀÈÄ 1:00:00","2023-6-28","¿ÀÈÄ 2:00:00","False","True","2023-6-28","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Diesel fuel day &amp; Storage tank inspection 	Procedure No. 	PUS1-MOP-010 	Risk Level: 	 	Frequency 	Monthly 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	N/A 	 
Description of Work  
The purpose of this inspection is to check the main fuel tank for oil supply to the generator (18,500 liters) and the daily fuel tank (970 liters) for leakage, the amount of residual fuel, and the risk factors inside the oil tank room. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of diesel tank and storage tank.","2023-7-26","¿ÀÈÄ 1:00:00","2023-7-26","¿ÀÈÄ 2:00:00","False","True","2023-7-26","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Diesel fuel day &amp; Storage tank inspection 	Procedure No. 	PUS1-MOP-010 	Risk Level: 	 	Frequency 	Monthly 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	N/A 	 
Description of Work  
The purpose of this inspection is to check the main fuel tank for oil supply to the generator (18,500 liters) and the daily fuel tank (970 liters) for leakage, the amount of residual fuel, and the risk factors inside the oil tank room. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of diesel tank and storage tank.","2023-8-23","¿ÀÈÄ 1:00:00","2023-8-23","¿ÀÈÄ 2:00:00","False","True","2023-8-23","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Diesel fuel day &amp; Storage tank inspection 	Procedure No. 	PUS1-MOP-010 	Risk Level: 	 	Frequency 	Monthly 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	N/A 	 
Description of Work  
The purpose of this inspection is to check the main fuel tank for oil supply to the generator (18,500 liters) and the daily fuel tank (970 liters) for leakage, the amount of residual fuel, and the risk factors inside the oil tank room. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of diesel tank and storage tank.","2023-9-27","¿ÀÈÄ 1:00:00","2023-9-27","¿ÀÈÄ 2:00:00","False","True","2023-9-27","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Diesel fuel day &amp; Storage tank inspection 	Procedure No. 	PUS1-MOP-010 	Risk Level: 	 	Frequency 	Monthly 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	N/A 	 
Description of Work  
The purpose of this inspection is to check the main fuel tank for oil supply to the generator (18,500 liters) and the daily fuel tank (970 liters) for leakage, the amount of residual fuel, and the risk factors inside the oil tank room. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of diesel tank and storage tank.","2023-10-25","¿ÀÈÄ 1:00:00","2023-10-25","¿ÀÈÄ 2:00:00","False","True","2023-10-25","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Diesel fuel day &amp; Storage tank inspection 	Procedure No. 	PUS1-MOP-010 	Risk Level: 	 	Frequency 	Monthly 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	N/A 	 
Description of Work  
The purpose of this inspection is to check the main fuel tank for oil supply to the generator (18,500 liters) and the daily fuel tank (970 liters) for leakage, the amount of residual fuel, and the risk factors inside the oil tank room. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of diesel tank and storage tank.","2023-11-22","¿ÀÈÄ 1:00:00","2023-11-22","¿ÀÈÄ 2:00:00","False","True","2023-11-22","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Diesel fuel day &amp; Storage tank inspection 	Procedure No. 	PUS1-MOP-010 	Risk Level: 	 	Frequency 	Monthly 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	N/A 	 
Description of Work  
The purpose of this inspection is to check the main fuel tank for oil supply to the generator (18,500 liters) and the daily fuel tank (970 liters) for leakage, the amount of residual fuel, and the risk factors inside the oil tank room. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of diesel tank and storage tank.","2023-12-27","¿ÀÈÄ 1:00:00","2023-12-27","¿ÀÈÄ 2:00:00","False","True","2023-12-27","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Diesel fuel day &amp; Storage tank inspection 	Procedure No. 	PUS1-MOP-010 	Risk Level: 	 	Frequency 	Monthly 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	N/A 	 
Description of Work  
The purpose of this inspection is to check the main fuel tank for oil supply to the generator (18,500 liters) and the daily fuel tank (970 liters) for leakage, the amount of residual fuel, and the risk factors inside the oil tank room. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Operation test of GEN-SET","2023-2-16","¿ÀÈÄ 1:00:00","2023-2-16","¿ÀÈÄ 2:00:00","False","True","2023-2-16","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 Generators start up testwork	Procedure No.	PUS1-MOP-007	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Generators Redundancy Configuration	 
Description of Work 
This work is a regular monthly inspection to check the test operation status of generators 1 and 2 in no-load condition.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Operation test of GEN-SET","2023-3-16","¿ÀÈÄ 1:00:00","2023-3-16","¿ÀÈÄ 2:00:00","False","True","2023-3-16","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 Generators start up testwork	Procedure No.	PUS1-MOP-007	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Generators Redundancy Configuration	 
Description of Work 
This work is a regular monthly inspection to check the test operation status of generators 1 and 2 in no-load condition.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Operation test of GEN-SET","2023-4-20","¿ÀÈÄ 1:00:00","2023-4-20","¿ÀÈÄ 2:00:00","False","True","2023-4-20","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 Generators start up testwork	Procedure No.	PUS1-MOP-007	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Generators Redundancy Configuration	 
Description of Work 
This work is a regular monthly inspection to check the test operation status of generators 1 and 2 in no-load condition.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Operation test of GEN-SET","2023-5-18","¿ÀÈÄ 1:00:00","2023-5-18","¿ÀÈÄ 2:00:00","False","True","2023-5-18","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 Generators start up testwork	Procedure No.	PUS1-MOP-007	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Generators Redundancy Configuration	 
Description of Work 
This work is a regular monthly inspection to check the test operation status of generators 1 and 2 in no-load condition.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Operation test of GEN-SET","2023-6-15","¿ÀÈÄ 1:00:00","2023-6-15","¿ÀÈÄ 2:00:00","False","True","2023-6-15","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 Generators start up testwork	Procedure No.	PUS1-MOP-007	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Generators Redundancy Configuration	 
Description of Work 
This work is a regular monthly inspection to check the test operation status of generators 1 and 2 in no-load condition.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Operation test of GEN-SET","2023-7-20","¿ÀÈÄ 1:00:00","2023-7-20","¿ÀÈÄ 2:00:00","False","True","2023-7-20","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 Generators start up testwork	Procedure No.	PUS1-MOP-007	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Generators Redundancy Configuration	 
Description of Work 
This work is a regular monthly inspection to check the test operation status of generators 1 and 2 in no-load condition.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Operation test of GEN-SET","2023-8-9","¿ÀÀü 10:00:00","2023-8-9","¿ÀÀü 11:00:00","False","False","2023-8-17","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 Generators start up testwork	Procedure No.	PUS1-MOP-007	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Generators Redundancy Configuration	 
Description of Work 
This work is a regular monthly inspection to check the test operation status of generators 1 and 2 in no-load condition.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Operation test of GEN-SET","2023-9-21","¿ÀÈÄ 1:00:00","2023-9-21","¿ÀÈÄ 2:00:00","False","True","2023-9-21","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 Generators start up testwork	Procedure No.	PUS1-MOP-007	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Generators Redundancy Configuration	 
Description of Work 
This work is a regular monthly inspection to check the test operation status of generators 1 and 2 in no-load condition.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Operation test of GEN-SET","2023-10-19","¿ÀÈÄ 1:00:00","2023-10-19","¿ÀÈÄ 2:00:00","False","True","2023-10-19","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 Generators start up testwork	Procedure No.	PUS1-MOP-007	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Generators Redundancy Configuration	 
Description of Work 
This work is a regular monthly inspection to check the test operation status of generators 1 and 2 in no-load condition.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Operation test of GEN-SET","2023-11-16","¿ÀÈÄ 1:00:00","2023-11-16","¿ÀÈÄ 2:00:00","False","True","2023-11-16","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 Generators start up testwork	Procedure No.	PUS1-MOP-007	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Generators Redundancy Configuration	 
Description of Work 
This work is a regular monthly inspection to check the test operation status of generators 1 and 2 in no-load condition.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Operation test of GEN-SET","2023-12-21","¿ÀÈÄ 1:00:00","2023-12-21","¿ÀÈÄ 2:00:00","False","True","2023-12-21","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 Generators start up testwork	Procedure No.	PUS1-MOP-007	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Generators Redundancy Configuration	 
Description of Work 
This work is a regular monthly inspection to check the test operation status of generators 1 and 2 in no-load condition.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of FSM site work.","2023-2-24","¿ÀÈÄ 1:00:00","2023-2-24","¿ÀÈÄ 4:00:00","False","True","2023-2-24","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Fire safety management site walk and inspection.	Procedure No.	MOP-PUS1-020	Risk Level:	 	Frequency	Monthly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	N/A	 
Description of Work 
This activity is fire safety management site walk and inspection in PUS1. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of FSM site work.","2023-3-24","¿ÀÈÄ 1:00:00","2023-3-24","¿ÀÈÄ 4:00:00","False","True","2023-3-24","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Fire safety management site walk and inspection.	Procedure No.	MOP-PUS1-020	Risk Level:	 	Frequency	Monthly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	N/A	 
Description of Work 
This activity is fire safety management site walk and inspection in PUS1. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of FSM site work.","2023-4-28","¿ÀÈÄ 1:00:00","2023-4-28","¿ÀÈÄ 4:00:00","False","True","2023-4-28","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Fire safety management site walk and inspection.	Procedure No.	MOP-PUS1-020	Risk Level:	 	Frequency	Monthly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	N/A	 
Description of Work 
This activity is fire safety management site walk and inspection in PUS1. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of FSM site work.","2023-5-26","¿ÀÈÄ 1:00:00","2023-5-26","¿ÀÈÄ 4:00:00","False","True","2023-5-26","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Fire safety management site walk and inspection.	Procedure No.	MOP-PUS1-020	Risk Level:	 	Frequency	Monthly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	N/A	 
Description of Work 
This activity is fire safety management site walk and inspection in PUS1. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of FSM site work.","2023-6-23","¿ÀÈÄ 1:00:00","2023-6-23","¿ÀÈÄ 4:00:00","False","True","2023-6-23","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Fire safety management site walk and inspection.	Procedure No.	MOP-PUS1-020	Risk Level:	 	Frequency	Monthly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	N/A	 
Description of Work 
This activity is fire safety management site walk and inspection in PUS1. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of FSM site work.","2023-7-28","¿ÀÈÄ 1:00:00","2023-7-28","¿ÀÈÄ 4:00:00","False","True","2023-7-28","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Fire safety management site walk and inspection.	Procedure No.	MOP-PUS1-020	Risk Level:	 	Frequency	Monthly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	N/A	 
Description of Work 
This activity is fire safety management site walk and inspection in PUS1. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of FSM site work.","2023-8-31","¿ÀÈÄ 1:00:00","2023-8-31","¿ÀÈÄ 4:00:00","False","False","2023-8-25","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Fire safety management site walk and inspection.	Procedure No.	MOP-PUS1-020	Risk Level:	 	Frequency	Monthly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	N/A	 
Description of Work 
This activity is fire safety management site walk and inspection in PUS1. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of FSM site work.","2023-9-22","¿ÀÈÄ 1:00:00","2023-9-22","¿ÀÈÄ 4:00:00","False","True","2023-9-22","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Fire safety management site walk and inspection.	Procedure No.	MOP-PUS1-020	Risk Level:	 	Frequency	Monthly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	N/A	 
Description of Work 
This activity is fire safety management site walk and inspection in PUS1. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of FSM site work.","2023-10-27","¿ÀÈÄ 1:00:00","2023-10-27","¿ÀÈÄ 4:00:00","False","True","2023-10-27","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Fire safety management site walk and inspection.	Procedure No.	MOP-PUS1-020	Risk Level:	 	Frequency	Monthly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	N/A	 
Description of Work 
This activity is fire safety management site walk and inspection in PUS1. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of FSM site work.","2023-11-24","¿ÀÈÄ 1:00:00","2023-11-24","¿ÀÈÄ 4:00:00","False","True","2023-11-24","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Fire safety management site walk and inspection.	Procedure No.	MOP-PUS1-020	Risk Level:	 	Frequency	Monthly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	N/A	 
Description of Work 
This activity is fire safety management site walk and inspection in PUS1. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of FSM site work.","2023-12-22","¿ÀÈÄ 1:00:00","2023-12-22","¿ÀÈÄ 4:00:00","False","True","2023-12-22","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Fire safety management site walk and inspection.	Procedure No.	MOP-PUS1-020	Risk Level:	 	Frequency	Monthly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	N/A	 
Description of Work 
This activity is fire safety management site walk and inspection in PUS1. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Inspection of E/V","2023-2-15","¿ÀÀü 9:30:00","2023-2-15","¿ÀÈÄ 12:00:00","False","True","2023-2-15","¿ÀÀü 9:15:00","PUS1 Ops Calendar",,,,,,,"Title:	Inspection of elevators	Procedure No.	MOP-PUS1-017	Risk Level:	 	Frequency	Monthly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	 	Power source/ Breaker isolated	N/A	 
Description of Work 
This MOP stipulates monthly preventive maintenance activity procedures for E/V in PUS1.
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
